UUID,timeSlot,totalKeys,sharing,consumption,remainder,
5508a7ba2fcf4bb412c3ee90c7aba88a,0,0.000000,0.000000,0.041667,0.0,
ccc658d69131428410eb373d605cdec9,0,1.000000,0.000000,0.021277,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,1,0.000000,0.000000,0.041667,0.0,
9bbce8936fab7f11442f9fa6d8384895,1,0.000000,0.000000,0.002985,0.0,
ccc658d69131428410eb373d605cdec9,1,1.000000,0.000000,0.021277,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,2,0.000000,0.000000,0.041667,0.0,
9bbce8936fab7f11442f9fa6d8384895,2,0.000000,0.000000,0.002985,0.0,
ccc658d69131428410eb373d605cdec9,2,0.250000,0.750000,0.008929,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,3,0.500000,0.000000,0.500000,2147483647,
9bbce8936fab7f11442f9fa6d8384895,3,0.250000,0.000000,0.029412,1073741823,
ccc658d69131428410eb373d605cdec9,3,0.250000,0.000000,0.062500,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,4,0.250000,0.250000,0.033333,1073741823,
9bbce8936fab7f11442f9fa6d8384895,4,0.125000,0.125000,0.005319,536870911,
ccc658d69131428410eb373d605cdec9,4,0.125000,0.125000,0.062500,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,5,0.500000,0.000000,0.003731,2147483645,
9bbce8936fab7f11442f9fa6d8384895,5,0.375000,0.000000,0.011236,1610612734,
ccc658d69131428410eb373d605cdec9,5,0.125000,0.000000,0.250000,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,6,0.500000,0.000000,0.020408,2147483645,
9bbce8936fab7f11442f9fa6d8384895,6,0.375000,0.000000,0.009615,1610612734,
ccc658d69131428410eb373d605cdec9,6,0.125000,0.000000,0.333333,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,7,0.500000,0.000000,0.016667,2147483645,
9bbce8936fab7f11442f9fa6d8384895,7,0.375000,0.000000,0.013333,1610612734,
ccc658d69131428410eb373d605cdec9,7,0.125000,0.000000,0.009091,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,8,0.500000,0.000000,0.015385,2147483645,
9bbce8936fab7f11442f9fa6d8384895,8,0.375000,0.000000,0.033333,1610612734,
ccc658d69131428410eb373d605cdec9,8,0.125000,0.000000,0.006452,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,9,0.500000,0.000000,0.125000,2147483645,
9bbce8936fab7f11442f9fa6d8384895,9,0.375000,0.000000,0.013158,1610612734,
ccc658d69131428410eb373d605cdec9,9,0.125000,0.000000,0.010309,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,10,0.500000,0.000000,0.017544,2147483645,
9bbce8936fab7f11442f9fa6d8384895,10,0.375000,0.000000,0.012658,1610612734,
ccc658d69131428410eb373d605cdec9,10,0.125000,0.000000,0.250000,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,11,0.500000,0.000000,0.021277,2147483645,
9bbce8936fab7f11442f9fa6d8384895,11,0.375000,0.000000,0.014493,1610612734,
ccc658d69131428410eb373d605cdec9,11,0.125000,0.000000,0.021739,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,12,0.500000,0.000000,0.023256,2147483645,
9bbce8936fab7f11442f9fa6d8384895,12,0.375000,0.000000,0.071429,1610612734,
ccc658d69131428410eb373d605cdec9,12,0.125000,0.000000,0.017857,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,13,0.500000,0.000000,1.000000,2147483645,
9bbce8936fab7f11442f9fa6d8384895,13,0.375000,0.000000,0.013333,1610612734,
ccc658d69131428410eb373d605cdec9,13,0.125000,0.000000,0.090909,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,14,0.500000,0.000000,0.038462,2147483644,
9bbce8936fab7f11442f9fa6d8384895,14,0.375000,0.000000,0.040000,1610612734,
ccc658d69131428410eb373d605cdec9,14,0.125000,0.000000,0.004310,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,15,0.500000,0.000000,0.013158,2147483644,
9bbce8936fab7f11442f9fa6d8384895,15,0.375000,0.000000,0.083333,1610612734,
ccc658d69131428410eb373d605cdec9,15,0.125000,0.000000,0.005814,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,16,0.500000,0.000000,0.008621,2147483644,
9bbce8936fab7f11442f9fa6d8384895,16,0.283203,0.091797,0.100000,1216348154,
ccc658d69131428410eb373d605cdec9,16,0.125000,0.000000,0.006173,0.0,
5508a7ba2fcf4bb412c3ee90c7aba88a,17,0.500000,0.000000,0.011905,2147483644,
9bbce8936fab7f11442f9fa6d8384895,17,0.283203,0.000000,0.083333,1216348154,
ccc658d69131428410eb373d605cdec9,17,0.216797,0.000000,0.014085,931135481,
5508a7ba2fcf4bb412c3ee90c7aba88a,18,0.500000,0.000000,0.030303,2147483644,
9bbce8936fab7f11442f9fa6d8384895,18,0.166992,0.116211,0.011111,717225970,
ccc658d69131428410eb373d605cdec9,18,0.216797,0.000000,0.033333,931135481,
5508a7ba2fcf4bb412c3ee90c7aba88a,19,0.500000,0.000000,0.011765,2147483644,
9bbce8936fab7f11442f9fa6d8384895,19,0.166992,0.000000,0.007937,717225970,
ccc658d69131428410eb373d605cdec9,19,0.333008,0.000000,0.066667,1430257651,
5508a7ba2fcf4bb412c3ee90c7aba88a,20,0.500000,0.000000,0.009259,2147483644,
9bbce8936fab7f11442f9fa6d8384895,20,0.117188,0.049805,0.037037,503316468,
ccc658d69131428410eb373d605cdec9,20,0.333008,0.000000,0.015625,1430257651,
5508a7ba2fcf4bb412c3ee90c7aba88a,21,0.500000,0.000000,0.043478,2147483644,
9bbce8936fab7f11442f9fa6d8384895,21,0.117188,0.000000,0.024390,503316468,
ccc658d69131428410eb373d605cdec9,21,0.382812,0.000000,0.012500,1644167149,
